"Datum";"URL";"PI/ Tag";"MB/ Tag"
"01.12.2012";"www.musterkunde.de";2886;571
"02.12.2012";"www.musterkunde.de";3301;538
"03.12.2012";"www.musterkunde.de";2063;357
"04.12.2012";"www.musterkunde.de";1474;288
"05.12.2012";"www.musterkunde.de";19078;2398
"06.12.2012";"www.musterkunde.de";853;205
"07.12.2012";"www.musterkunde.de";560;161
"08.12.2012";"www.musterkunde.de";703;181
"09.12.2012";"www.musterkunde.de";893;230
"10.12.2012";"www.musterkunde.de";896;246
"11.12.2012";"www.musterkunde.de";898;232
"12.12.2012";"www.musterkunde.de";1093;269
"13.12.2012";"www.musterkunde.de";1049;222
"14.12.2012";"www.musterkunde.de";792;218
"15.12.2012";"www.musterkunde.de";1174;294
"16.12.2012";"www.musterkunde.de";1267;304
"17.12.2012";"www.musterkunde.de";1132;270
"18.12.2012";"www.musterkunde.de";821;216
"19.12.2012";"www.musterkunde.de";1202;278
"20.12.2012";"www.musterkunde.de";996;243
"21.12.2012";"www.musterkunde.de";810;181
"22.12.2012";"www.musterkunde.de";1321;275
"23.12.2012";"www.musterkunde.de";1000;241
"24.12.2012";"www.musterkunde.de";1180;269
"25.12.2012";"www.musterkunde.de";9876;259
"26.12.2012";"www.musterkunde.de";1102;257
"27.12.2012";"www.musterkunde.de";43256;4097
"28.12.2012";"www.musterkunde.de";881;226
"29.12.2012";"www.musterkunde.de";1013;234
"30.12.2012";"www.musterkunde.de";1034;603
"31.12.2012";"www.musterkunde.de";998;432





